heat_id,analysis_date,analysis_type,analysis_status,analysis_lab_id,analysis_eq_id,analyst_id,notes
1,12/23/2019,drop,valid,1,1,1,nothing on my side
2,12/23/2019,drop,valid,1,2,2,nothing on my side
3,12/25/2019,drop,valid,1,3,3,nothing on my side
4,12/24/2019,drop,valid,1,1,4,nothing on my side
5,1/27/2020,drop,valid,1,2,1,nothing on my side
6,1/24/2020,drop,valid,1,3,2,nothing on my side
7,1/25/2020,drop,valid,1,1,3,nothing on my side
8,1/25/2020,drop,valid,1,2,4,nothing on my side
9,1/25/2020,drop,valid,1,3,1,nothing on my side
10,2/23/2020,drop,valid,1,1,2,nothing on my side
11,2/25/2020,drop,valid,1,2,3,nothing on my side
12,2/22/2020,drop,valid,1,3,4,nothing on my side
13,2/25/2020,drop,valid,1,1,1,nothing on my side
14,2/23/2020,drop,valid,1,2,2,nothing on my side
15,2/21/2020,drop,valid,1,3,3,nothing on my side
16,3/26/2020,drop,valid,1,1,4,nothing on my side
17,3/26/2020,drop,valid,1,2,1,nothing on my side
18,3/26/2020,drop,valid,1,3,2,nothing on my side
19,3/26/2020,drop,valid,1,1,3,nothing on my side
20,3/27/2020,drop,valid,1,2,4,nothing on my side
21,4/23/2020,drop,valid,1,3,1,nothing on my side
22,4/26/2020,drop,valid,1,1,2,nothing on my side
23,4/24/2020,drop,valid,1,2,3,nothing on my side
24,4/24/2020,drop,valid,1,3,4,nothing on my side
25,4/22/2020,drop,valid,1,1,1,nothing on my side
26,5/27/2020,drop,valid,1,2,2,nothing on my side
27,5/25/2020,drop,valid,1,3,3,nothing on my side
28,5/26/2020,drop,valid,1,1,4,nothing on my side
29,5/24/2020,drop,valid,1,2,1,nothing on my side
30,5/23/2020,drop,valid,1,3,2,nothing on my side
31,5/27/2020,drop,valid,1,1,3,nothing on my side
32,6/24/2020,drop,valid,1,2,4,nothing on my side
33,6/24/2020,drop,valid,1,3,1,nothing on my side
34,6/25/2020,drop,valid,1,1,2,nothing on my side
35,6/24/2020,drop,valid,1,2,3,nothing on my side
36,6/22/2020,drop,valid,1,3,4,nothing on my side
37,7/23/2020,drop,valid,1,1,1,nothing on my side
38,7/26/2020,drop,valid,1,2,2,nothing on my side
