chem_session_id,element_id,element_value
1,1,0.073
2,1,0.057
3,1,0.106
4,1,0.058
5,1,0.113
6,1,0.094
7,1,0.034
8,1,0.077
9,1,0.085
10,1,0.055
11,1,0.095
12,1,0.069
13,1,0.161
14,1,0.116
15,1,0.147
16,1,0.091
17,1,0.164
18,1,0.026
19,1,0.094
20,1,0.113
21,1,0.139
22,1,0.104
23,1,0.099
24,1,0.082
25,1,0.066
26,1,0.056
27,1,0.121
28,1,0.137
29,1,0.094
30,1,0.044
31,1,0.135
32,1,0.136
33,1,0.074
34,1,0.127
35,1,0.068
36,1,0.096
37,1,0.084
38,1,0.096
39,1,0.098
40,1,0.119
41,1,0.08
42,1,0.08
43,1,0.122
44,1,0.112
45,1,0.046
46,1,0.164
47,1,0.172
48,1,0.125
49,1,0.054
50,1,0.08
51,1,0.107
52,1,0.129
53,1,0.105
54,1,0.076
55,1,0.102
56,1,0.082
57,1,0.055
58,1,0.042
59,1,0.134
60,1,0.131
61,1,0.032
62,1,0.106
63,1,0.061
64,1,0.123
65,1,0.143
66,1,0.077
67,1,0.107
68,1,0.08
69,1,0.133
70,1,0.155
71,1,0.034
72,1,0.111
73,1,0.035
74,1,0.156
75,1,0.132
76,1,0.117
77,1,0.06
78,1,0.072
79,1,0.117
80,1,0.041
81,1,0.112
82,1,0.104
83,1,0.108
84,1,0.116
85,1,0.148
86,1,0.078
87,1,0.025
88,1,0.061
89,1,0.022
90,1,0.076
91,1,0.102
92,1,0.024
93,1,0.1
94,1,0.008
95,1,0.09
96,1,0.093
97,1,0.032
98,1,0.058
99,1,0.029
100,1,0.091
101,1,0.068
102,1,0.087
103,1,0.113
104,1,0.07
105,1,0.15
106,1,0.12
107,1,0.115
108,1,0.049
109,1,0.083
110,1,0.105
111,1,0.115
112,1,0.086
113,1,0.146
114,1,0.132
115,1,0.08
116,1,0.041
117,1,0.109
118,1,0.089
119,1,0.106
120,1,0.072
121,1,0.115
122,1,0.11
123,1,0.01
124,1,0.074
125,1,0.145
126,1,0.094
127,1,0.052
128,1,0.136
129,1,0.017
130,1,0.068
131,1,0.124
132,1,0.105
133,1,0.018
134,1,0.157
135,1,0.156
136,1,0.168
137,1,0.044
138,1,0.121
139,1,0.082
140,1,0.142
141,1,0.155
142,1,0.123
143,1,0.071
144,1,0.105
145,1,0.108
146,1,0.051
147,1,0.102
148,1,0.053
149,1,0.08
150,1,0.085
151,1,0.075
152,1,0.13
153,1,0.092
154,1,0.133
155,1,0.076
156,1,0.042
157,1,0.088
158,1,0.064
159,1,0.101
160,1,0.013
161,1,0.083
162,1,0.131
163,1,0.063
164,1,0.087
165,1,0.16
166,1,0.101
167,1,0.149
168,1,0.033
169,1,0.113
170,1,0.05
171,1,0.071
172,1,0.073
173,1,0.099
174,1,0.047
175,1,0.169
176,1,0.064
177,1,0.118
178,1,0.104
179,1,0.144
180,1,0.099
181,1,0.069
182,1,0.109
183,1,0.066
184,1,0.049
185,1,0.103
186,1,0.078
187,1,0.085
188,1,0.116
189,1,0.138
190,1,0.1
191,1,0.015
192,1,0.099
193,1,0.102
194,1,0.092
195,1,0.044
196,1,0.092
197,1,0.137
198,1,0.119
199,1,0.088
200,1,0.098
201,1,0.076
202,1,0.103
203,1,0.019
204,1,0.028
205,1,0.08
206,1,0.078
207,1,0.08
208,1,0.096
209,1,0.101
210,1,0.147
211,1,0.008
212,1,0.123
213,1,0.089
214,1,0.07
215,1,0.115
216,1,0.053
217,1,0.108
218,1,0.107
219,1,0.083
220,1,0.119
221,1,0.128
222,1,0.112
223,1,0.089
224,1,0.083
225,1,0.055
226,1,0.084
227,1,0.029
228,1,0.105
229,1,0.074
230,1,0.085
231,1,0.101
232,1,0.151
233,1,0.099
234,1,0.113
235,1,0.08
